profit_rank,crop,predicted_yield,modal_price,expected_revenue,cost_per_hectare,net_profit
4671,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4672,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4673,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4674,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4675,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4676,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4677,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4678,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4679,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4680,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4681,Wheat,34.230134446950004,2500.0,85575.33611737502,30000.0,55575.336117375016
4682,Wheat,34.29466065124996,2495.0,85565.17832486866,30000.0,55565.178324868655
4683,Wheat,34.29466065124996,2495.0,85565.17832486866,30000.0,55565.178324868655
4684,Wheat,34.230134446950004,2495.0,85404.18544514026,30000.0,55404.18544514026
4685,Wheat,34.230134446950004,2495.0,85404.18544514026,30000.0,55404.18544514026
4686,Wheat,34.29466065124996,2490.0,85393.7050216124,30000.0,55393.705021612404
4687,Wheat,33.62759427625004,2535.0,85245.95149029385,30000.0,55245.95149029385
4688,Wheat,37.6310357997,2265.0,85234.29608632051,30000.0,55234.29608632051
4689,Wheat,34.230134446950004,2490.0,85233.0347729055,30000.0,55233.03477290551
4690,Wheat,34.29466065124996,2485.0,85222.23171835615,30000.0,55222.23171835615
4691,Wheat,34.29466065124996,2485.0,85222.23171835615,30000.0,55222.23171835615
4692,Wheat,34.29466065124996,2482.0,85119.34773640241,30000.0,55119.347736402415
4693,Maize,31.90327881525005,2605.0,83108.04131372638,28000.0,55108.04131372638
4694,Maize,31.8898728053,2605.0,83073.11865780651,28000.0,55073.11865780651
4695,Wheat,34.230134446950004,2485.0,85061.88410067077,30000.0,55061.884100670766
4696,Wheat,34.230134446950004,2485.0,85061.88410067077,30000.0,55061.884100670766
4697,Maize,53.55716727350002,1550.0,83013.60927392503,28000.0,55013.60927392503
4698,Wheat,34.230134446950004,2482.0,84959.19369732992,30000.0,54959.193697329916
4699,Maize,31.90327881525005,2600.0,82948.52491965014,28000.0,54948.52491965014
4700,Wheat,33.62759427625004,2526.0,84943.30314180761,30000.0,54943.30314180761
4701,Maize,31.8898728053,2600.0,82913.66929378,28000.0,54913.669293779996
4702,Wheat,33.62759427625004,2525.0,84909.67554753135,30000.0,54909.675547531355
4703,Wheat,33.62759427625004,2525.0,84909.67554753135,30000.0,54909.675547531355
4704,Wheat,33.62759427625004,2525.0,84909.67554753135,30000.0,54909.675547531355
4705,Wheat,33.62759427625004,2525.0,84909.67554753135,30000.0,54909.675547531355
4706,Wheat,33.62759427625004,2520.0,84741.5375761501,30000.0,54741.537576150105
4707,Maize,55.15243032599997,1500.0,82728.64548899996,28000.0,54728.64548899996
4708,Wheat,34.29466065124996,2470.0,84707.8118085874,30000.0,54707.8118085874
4709,Wheat,34.230134446950004,2470.0,84548.43208396652,30000.0,54548.432083966516
4710,Maize,42.904292524649975,1924.0,82547.85881742655,28000.0,54547.858817426546
4711,Maize,30.010162386350007,2750.0,82527.94656246252,28000.0,54527.946562462515
4712,Maize,30.010162386350007,2750.0,82527.94656246252,28000.0,54527.946562462515
4713,Maize,30.010162386350007,2750.0,82527.94656246252,28000.0,54527.946562462515
4714,Maize,30.010162386350007,2750.0,82527.94656246252,28000.0,54527.946562462515
4715,Maize,30.010162386350007,2750.0,82527.94656246252,28000.0,54527.946562462515
4716,Maize,30.010162386350007,2750.0,82527.94656246252,28000.0,54527.946562462515
4717,Maize,30.010162386350007,2750.0,82527.94656246252,28000.0,54527.946562462515
4718,Maize,30.010162386350007,2750.0,82527.94656246252,28000.0,54527.946562462515
4719,Wheat,33.62759427625004,2510.0,84405.2616333876,30000.0,54405.26163338761
4720,Wheat,33.62759427625004,2510.0,84405.2616333876,30000.0,54405.26163338761
4721,Wheat,33.62759427625004,2510.0,84405.2616333876,30000.0,54405.26163338761
4722,Wheat,33.62759427625004,2508.0,84338.0064448351,30000.0,54338.006444835104
4723,Wheat,33.62759427625004,2505.0,84237.12366200636,30000.0,54237.12366200636
4724,Wheat,33.62759427625004,2505.0,84237.12366200636,30000.0,54237.12366200636
4725,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4726,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4727,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4728,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4729,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4730,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4731,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4732,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4733,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4734,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4735,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4736,Wheat,33.62759427625004,2500.0,84068.98569062511,30000.0,54068.98569062511
4737,Wheat,34.29466065124996,2450.0,84021.91859556241,30000.0,54021.91859556241
4738,Wheat,34.29466065124996,2450.0,84021.91859556241,30000.0,54021.91859556241
4739,Wheat,34.29466065124996,2450.0,84021.91859556241,30000.0,54021.91859556241
4740,Wheat,34.29466065124996,2450.0,84021.91859556241,30000.0,54021.91859556241
4741,Wheat,33.62759427625004,2495.0,83900.84771924386,30000.0,53900.84771924386
4742,Wheat,33.62759427625004,2495.0,83900.84771924386,30000.0,53900.84771924386
4743,Wheat,34.230134446950004,2450.0,83863.82939502751,30000.0,53863.82939502751
4744,Wheat,34.230134446950004,2450.0,83863.82939502751,30000.0,53863.82939502751
4745,Wheat,34.230134446950004,2450.0,83863.82939502751,30000.0,53863.82939502751
4746,Wheat,34.230134446950004,2450.0,83863.82939502751,30000.0,53863.82939502751
4747,Wheat,33.62759427625004,2490.0,83732.70974786261,30000.0,53732.70974786261
4748,Wheat,33.62759427625004,2485.0,83564.57177648136,30000.0,53564.57177648136
4749,Wheat,33.62759427625004,2485.0,83564.57177648136,30000.0,53564.57177648136
4750,Maize,42.904292524649975,1900.0,81518.15579683495,28000.0,53518.15579683495
4751,Maize,42.904292524649975,1900.0,81518.15579683495,28000.0,53518.15579683495
4752,Maize,42.904292524649975,1900.0,81518.15579683495,28000.0,53518.15579683495
4753,Wheat,33.62759427625004,2482.0,83463.68899365261,30000.0,53463.68899365261
4754,Wheat,34.29466065124996,2430.0,83336.02538253741,30000.0,53336.02538253741
4755,Wheat,34.29466065124996,2430.0,83336.02538253741,30000.0,53336.02538253741
4756,Maize,29.52311212339993,2750.0,81188.55833934981,28000.0,53188.55833934981
4757,Maize,29.52311212339993,2750.0,81188.55833934981,28000.0,53188.55833934981
4758,Maize,29.52311212339993,2750.0,81188.55833934981,28000.0,53188.55833934981
4759,Maize,29.52311212339993,2750.0,81188.55833934981,28000.0,53188.55833934981
4760,Maize,29.52311212339993,2750.0,81188.55833934981,28000.0,53188.55833934981
4761,Maize,29.52311212339993,2750.0,81188.55833934981,28000.0,53188.55833934981
4762,Maize,29.52311212339993,2750.0,81188.55833934981,28000.0,53188.55833934981
4763,Maize,29.52311212339993,2750.0,81188.55833934981,28000.0,53188.55833934981
4764,Wheat,34.230134446950004,2430.0,83179.2267060885,30000.0,53179.226706088506
4765,Wheat,34.230134446950004,2430.0,83179.2267060885,30000.0,53179.226706088506
4766,Wheat,33.62759427625004,2470.0,83060.15786233761,30000.0,53060.15786233761
4767,Maize,47.95726294030007,1680.0,80568.20173970412,28000.0,52568.20173970412
4768,Maize,42.904292524649975,1875.0,80445.5484837187,28000.0,52445.548483718696
4769,Wheat,33.62759427625004,2450.0,82387.6059768126,30000.0,52387.6059768126
4770,Wheat,33.62759427625004,2450.0,82387.6059768126,30000.0,52387.6059768126
4771,Wheat,33.62759427625004,2450.0,82387.6059768126,30000.0,52387.6059768126
4772,Wheat,33.62759427625004,2450.0,82387.6059768126,30000.0,52387.6059768126
4773,Maize,53.55716727350002,1500.0,80335.75091025003,28000.0,52335.75091025003
4774,Wheat,34.29466065124996,2400.0,82307.1855629999,30000.0,52307.185562999905
4775,Wheat,34.230134446950004,2400.0,82152.32267268,30000.0,52152.322672680006
4776,Maize,31.90327881525005,2500.0,79758.19703812513,28000.0,51758.19703812513
4777,Maize,31.90327881525005,2500.0,79758.19703812513,28000.0,51758.19703812513
4778,Maize,31.8898728053,2500.0,79724.68201325,28000.0,51724.68201325
4779,Maize,31.8898728053,2500.0,79724.68201325,28000.0,51724.68201325
4780,Wheat,33.62759427625004,2430.0,81715.0540912876,30000.0,51715.0540912876
4781,Wheat,33.62759427625004,2430.0,81715.0540912876,30000.0,51715.0540912876
4782,Maize,42.904292524649975,1850.0,79372.94117060245,28000.0,51372.941170602455
4783,Maize,47.95726294030007,1650.0,79129.48385149511,28000.0,51129.48385149511
4784,Rice,39.695091900600026,2165.0,85939.87396479906,35000.0,50939.87396479906
4785,Wheat,33.62759427625004,2400.0,80706.2262630001,30000.0,50706.226263000106
4786,Wheat,34.29466065124996,2350.0,80592.45253043741,30000.0,50592.45253043741
4787,Wheat,34.29466065124996,2350.0,80592.45253043741,30000.0,50592.45253043741
4788,Maize,31.90327881525005,2460.0,78482.06588551513,28000.0,50482.06588551513
4789,Maize,31.8898728053,2460.0,78449.087101038,28000.0,50449.08710103801
4790,Wheat,34.230134446950004,2350.0,80440.81595033252,30000.0,50440.815950332515
4791,Wheat,34.230134446950004,2350.0,80440.81595033252,30000.0,50440.815950332515
4792,Maize,28.4897017438,2750.0,78346.67979545,28000.0,50346.67979545001
4793,Maize,28.4897017438,2750.0,78346.67979545,28000.0,50346.67979545001
4794,Maize,28.4897017438,2750.0,78346.67979545,28000.0,50346.67979545001
4795,Maize,28.4897017438,2750.0,78346.67979545,28000.0,50346.67979545001
4796,Maize,28.4897017438,2750.0,78346.67979545,28000.0,50346.67979545001
4797,Maize,28.4897017438,2750.0,78346.67979545,28000.0,50346.67979545001
4798,Maize,28.4897017438,2750.0,78346.67979545,28000.0,50346.67979545001
4799,Maize,28.4897017438,2750.0,78346.67979545,28000.0,50346.67979545001
4800,Maize,28.433521692100065,2750.0,78192.18465327518,28000.0,50192.18465327518
4801,Maize,28.433521692100065,2750.0,78192.18465327518,28000.0,50192.18465327518
4802,Maize,28.433521692100065,2750.0,78192.18465327518,28000.0,50192.18465327518
4803,Maize,28.433521692100065,2750.0,78192.18465327518,28000.0,50192.18465327518
4804,Maize,28.433521692100065,2750.0,78192.18465327518,28000.0,50192.18465327518
4805,Maize,28.433521692100065,2750.0,78192.18465327518,28000.0,50192.18465327518
4806,Maize,28.433521692100065,2750.0,78192.18465327518,28000.0,50192.18465327518
4807,Maize,28.433521692100065,2750.0,78192.18465327518,28000.0,50192.18465327518
4808,Maize,30.010162386350007,2605.0,78176.47301644177,28000.0,50176.47301644177
4809,Maize,30.010162386350007,2600.0,78026.42220451002,28000.0,50026.42220451002
4810,Maize,31.90327881525005,2420.0,77205.93473290512,28000.0,49205.93473290512
4811,Maize,31.8898728053,2420.0,77173.492188826,28000.0,49173.492188826
4812,Maize,47.95726294030007,1608.0,77115.2788080025,28000.0,49115.278808002506
4813,Wheat,33.62759427625004,2350.0,79024.8465491876,30000.0,49024.8465491876
4814,Wheat,33.62759427625004,2350.0,79024.8465491876,30000.0,49024.8465491876
4815,Maize,29.52311212339993,2605.0,76907.70708145681,28000.0,48907.707081456814
4816,Maize,29.52311212339993,2600.0,76760.09152083982,28000.0,48760.09152083982
4817,Maize,47.95726294030007,1600.0,76731.62070448011,28000.0,48731.62070448011
4818,Maize,47.95726294030007,1600.0,76731.62070448011,28000.0,48731.62070448011
4819,Maize,47.95726294030007,1600.0,76731.62070448011,28000.0,48731.62070448011
4820,Maize,31.90327881525005,2400.0,76567.86915660012,28000.0,48567.86915660012
