crop,predicted_yield,Modal_x0020_Price,expected_revenue
type_Ragi,36.25506795084998,4886.0,177142.262007853
type_Rubber,32.09889180565,17500.0,561730.606598875
type_Rubber,32.09889180565,17500.0,561730.606598875
type_Groundnut,34.41275873429996,6200.0,213359.10415265977
type_Groundnut,34.41275873429996,6605.0,227296.27144005126
type_Groundnut,34.41275873429996,7500.0,258095.69050724973
type_Groundnut,34.41275873429996,6750.0,232286.12145652476
type_Groundnut,34.41275873429996,6250.0,215079.74208937478
type_Groundnut,34.41275873429996,8500.0,292508.4492415497
type_Groundnut,34.41275873429996,7000.0,240889.31114009974
type_Groundnut,34.41275873429996,7700.0,264978.2422541097
type_Groundnut,34.41275873429996,6225.0,214219.42312101726
type_Groundnut,34.41275873429996,6750.0,232286.12145652476
type_Groundnut,34.41275873429996,6865.0,236243.58871096926
type_Groundnut,34.41275873429996,7000.0,240889.31114009974
type_Groundnut,34.41275873429996,6350.0,218521.01796280476
type_Groundnut,34.41275873429996,7900.0,271860.79400096973
type_Groundnut,34.41275873429996,6100.0,209917.82827922978
type_Groundnut,34.41275873429996,9800.0,337245.0355961396
type_Groundnut,34.41275873429996,5875.0,202174.9575640123
type_Groundnut,34.41275873429996,6500.0,223682.93177294976
type_Groundnut,34.41275873429996,9000.0,309714.82860869967
type_Groundnut,34.41275873429996,8000.0,275302.0698743997
type_Groundnut,34.41275873429996,5750.0,197873.3627222248
type_Groundnut,34.41275873429996,10519.0,361987.8091261013
type_Groundnut,34.41275873429996,5012.0,172476.74677631143
type_Groundnut,34.41275873429996,6310.0,217144.50761343277
type_Groundnut,34.41275873429996,5750.0,197873.3627222248
type_Groundnut,34.41275873429996,6455.0,222134.35762990627
type_Groundnut,34.41275873429996,6250.0,215079.74208937478
type_Groundnut,34.41275873429996,9375.0,322619.61313406215
type_Groundnut,34.41275873429996,6500.0,223682.93177294976
type_Groundnut,34.41275873429996,4800.0,165181.24192463982
type_Groundnut,34.41275873429996,8000.0,275302.0698743997
type_Groundnut,34.41275873429996,8500.0,292508.4492415497
type_Groundnut,34.41275873429996,8500.0,292508.4492415497
type_Groundnut,34.41275873429996,8000.0,275302.0698743997
type_Groundnut,34.41275873429996,8000.0,275302.0698743997
type_Groundnut,34.41275873429996,7500.0,258095.69050724973
type_Groundnut,34.41275873429996,6000.0,206476.55240579977
type_Groundnut,34.41275873429996,6250.0,215079.74208937478
type_Groundnut,34.41275873429996,6705.0,230737.54731348125
type_Groundnut,34.41275873429996,6450.0,221962.29383623475
type_Groundnut,34.41275873429996,5500.0,189270.1730386498
type_Groundnut,34.41275873429996,7750.0,266698.88019082474
type_Groundnut,34.41275873429996,7500.0,258095.69050724973
type_Groundnut,34.41275873429996,4250.0,146254.22462077485
type_Groundnut,34.41275873429996,6500.0,223682.93177294976
type_Groundnut,34.41275873429996,6250.0,215079.74208937478
type_Groundnut,34.41275873429996,6750.0,232286.12145652476
type_Groundnut,34.41275873429996,5750.0,197873.3627222248
type_Groundnut,34.41275873429996,6250.0,215079.74208937478
type_Groundnut,34.41275873429996,9500.0,326921.2079758496
type_Groundnut,34.41275873429996,6500.0,223682.93177294976
type_Groundnut,34.41275873429996,5500.0,189270.1730386498
type_Groundnut,34.41275873429996,6225.0,214219.42312101726
type_Groundnut,34.41275873429996,7180.0,247083.60771227375
type_Groundnut,34.41275873429996,6525.0,224543.25074130727
type_Groundnut,34.41275873429996,5700.0,196152.72478550978
type_Groundnut,34.41275873429996,7150.0,246051.22495024474
type_Groundnut,34.41275873429996,7250.0,249492.50082367472
type_Groundnut,34.41275873429996,6500.0,223682.93177294976
type_Groundnut,34.41275873429996,5750.0,197873.3627222248
type_Groundnut,34.41275873429996,5500.0,189270.1730386498
type_Groundnut,34.41275873429996,5750.0,197873.3627222248
type_Groundnut,34.41275873429996,5750.0,197873.3627222248
type_Groundnut,34.41275873429996,6000.0,206476.55240579977
type_Groundnut,34.41275873429996,4600.0,158298.69017777982
type_Groundnut,34.41275873429996,7000.0,240889.31114009974
type_Groundnut,34.41275873429996,5000.0,172063.79367149982
type_Groundnut,34.41275873429996,6000.0,206476.55240579977
type_Groundnut,34.41275873429996,8500.0,292508.4492415497
type_Groundnut,34.41275873429996,6000.0,206476.55240579977
type_Groundnut,34.41275873429996,7000.0,240889.31114009974
type_Ragi,30.00478955070002,5300.0,159025.38461871012
type_Ragi,30.00478955070002,4886.0,146603.4017447203
type_Turmeric,45.29317051409998,11000.0,498224.87565509975
type_Turmeric,45.29317051409998,3500.0,158526.0967993499
type_Jowar,41.3131503876,5000.0,206565.75193799997
type_Jowar,41.3131503876,4025.0,166285.43031008999
type_Jowar,41.3131503876,5050.0,208631.40945737998
type_Jowar,41.3131503876,2200.0,90888.93085271999
type_Jowar,41.3131503876,5500.0,227222.32713179998
type_Jowar,41.3131503876,5782.5,238893.29211629697
type_Jowar,41.3131503876,4400.0,181777.86170543998
type_Jowar,41.3131503876,5340.0,220612.22306978397
type_Jowar,41.3131503876,2050.0,84691.95829457999
type_Jowar,41.3131503876,3500.0,144596.0263566
